| date | open | last | high | low | volume | amount | exchange |
| 2021-07-27 | 3228.44 | 3126.38 | 3238.39 | 3117.61 | 49848732 | 149168480256 | 0.31 |
| 2021-07-28 | 3107.12 | 3154.64 | 3171.08 | 3098.02 | 40519637 | 120707993600 | 0.25 |
| 2021-07-29 | 3206.44 | 3182.80 | 3207.90 | 3159.77 | 35649915 | 117100204032 | 0.22 |
| 2021-07-30 | 3160.47 | 3132.82 | 3160.47 | 3114.51 | 32388851 | 115899555840 | 0.20 |
| 2021-08-02 | 3112.30 | 3211.14 | 3217.81 | 3082.83 | 45574984 | 145805381632 | 0.28 |
| 2021-08-03 | 3197.89 | 3223.83 | 3235.40 | 3181.76 | 38895185 | 125440425984 | 0.24 |
| 2021-08-04 | 3219.40 | 3233.10 | 3242.39 | 3211.40 | 33649542 | 121978593280 | 0.21 |
| 2021-08-05 | 3214.47 | 3227.36 | 3266.30 | 3198.37 | 31843626 | 110615257088 | 0.20 |
| 2021-08-06 | 3211.64 | 3195.70 | 3213.10 | 3181.38 | 29907723 | 101610770432 | 0.19 |
| 2021-08-09 | 3171.10 | 3235.21 | 3253.08 | 3169.19 | 38742858 | 121140072448 | 0.24 |
| 2021-08-10 | 3231.15 | 3288.65 | 3290.25 | 3193.96 | 32464842 | 115080306688 | 0.20 |
| 2021-08-11 | 3280.81 | 3262.58 | 3298.41 | 3259.53 | 40066318 | 100406353920 | 0.25 |
| 2021-08-12 | 3247.80 | 3226.11 | 3262.90 | 3222.69 | 32263283 | 98174685184 | 0.20 |
| 2021-08-13 | 3212.33 | 3217.84 | 3242.31 | 3199.86 | 28209573 | 87314370560 | 0.17 |
| 2021-08-16 | 3212.66 | 3222.62 | 3246.93 | 3205.53 | 32549562 | 87987322880 | 0.20 |
| 2021-08-17 | 3219.83 | 3149.88 | 3240.33 | 3141.66 | 39784669 | 112131108864 | 0.25 |
| 2021-08-18 | 3148.38 | 3190.55 | 3204.87 | 3133.88 | 45500288 | 119532584960 | 0.28 |
| 2021-08-19 | 3179.93 | 3144.37 | 3185.73 | 3130.47 | 45199624 | 112326381568 | 0.28 |
| 2021-08-20 | 3105.16 | 3072.75 | 3118.70 | 3044.88 | 38536618 | 115273498624 | 0.24 |
| 2021-08-23 | 3079.29 | 3099.89 | 3109.99 | 3069.53 | 31664015 | 102686646272 | 0.20 |
| 2021-08-24 | 3106.23 | 3147.77 | 3160.56 | 3104.97 | 38208245 | 119776460800 | 0.24 |
| 2021-08-25 | 3160.74 | 3159.80 | 3173.37 | 3138.22 | 33666800 | 105332830208 | 0.21 |
| 2021-08-26 | 3156.91 | 3088.83 | 3156.91 | 3087.30 | 31599888 | 92897140736 | 0.20 |
| 2021-08-27 | 3086.05 | 3123.05 | 3145.98 | 3084.31 | 32613426 | 97666469888 | 0.20 |
| 2021-08-30 | 3141.12 | 3112.70 | 3141.76 | 3092.83 | 45208788 | 130054950912 | 0.28 |
| 2021-08-31 | 3099.47 | 3097.06 | 3122.91 | 3056.70 | 51607670 | 138634317824 | 0.32 |
| 2021-09-01 | 3087.26 | 3165.04 | 3185.82 | 3064.50 | 73041359 | 177068965888 | 0.45 |
| 2021-09-02 | 3166.27 | 3167.10 | 3189.25 | 3149.25 | 51786473 | 125361147904 | 0.32 |
| 2021-09-03 | 3172.50 | 3175.88 | 3203.32 | 3137.88 | 52769185 | 128714657792 | 0.33 |
